dataset,path,bpp,msssim_torch,msssim_iqa,psnr,vif,fsim,nlpd,iw-ssim,vmaf,psnr_hvs
celeba,/nas/public/exchange/JPEG-AI/data/TEST/celeba/original/0943.png,0.75,0.9988523125648499,0.9988532066345215,43.31775016178578,44.240449223487175,45.65662987186704,0.8653218746185303,0.9904981255531311,0.04322529956698418,0.9979791641235352
celeba,/nas/public/exchange/JPEG-AI/data/TEST/celeba/original/0943.png,1.0,0.9993616938591003,0.9993597269058228,45.46303503102068,48.16706987099877,49.222595453657824,0.9067303538322449,0.9953223466873169,0.033970028162002563,0.9989222884178162
celeba,/nas/public/exchange/JPEG-AI/data/TEST/celeba/original/0943.png,2.0,0.9997496008872986,0.9997470378875732,48.94613440879444,51.12912650075101,52.24970038291777,0.9551516175270081,0.998110830783844,0.02233651652932167,0.9995862245559692
celeba,/nas/public/exchange/JPEG-AI/data/TEST/celeba/original/0749.png,0.12,0.9801884889602661,0.9800568222999573,33.32549606038677,35.484670787529986,35.490399239962336,0.567010223865509,0.939228892326355,0.1604475975036621,0.9645993709564209
celeba,/nas/public/exchange/JPEG-AI/data/TEST/celeba/original/0749.png,0.25,0.994502067565918,0.9944836497306824,38.86192868880005,39.1015851971391,39.08501074058082,0.7418391108512878,0.9737443923950195,0.0841820165514946,0.990898072719574
celeba,/nas/public/exchange/JPEG-AI/data/TEST/celeba/original/0749.png,0.75,0.9987956881523132,0.9987905025482178,44.34529512986838,44.22809546791312,46.324166861043196,0.8776388764381409,0.9921562075614929,0.04167585074901581,0.9981687664985657
celeba,/nas/public/exchange/JPEG-AI/data/TEST/celeba/original/0749.png,1.0,0.9993617534637451,0.9993577003479004,46.758893421198096,48.1426706472812,49.70295573066955,0.9196915030479431,0.9961859583854675,0.031470634043216705,0.9990800619125366
celeba,/nas/public/exchange/JPEG-AI/data/TEST/celeba/original/0749.png,2.0,0.9997509717941284,0.9997482299804688,49.87960773956606,51.48443699019241,53.002033226980075,0.9573114514350891,0.9984225630760193,0.021057967096567154,0.9996225833892822
raise,/nas/public/exchange/JPEG-AI/data/TEST/raise/original/10111_00_300_gt.png,0.12,0.9916295409202576,0.9913630485534668,41.70353524860954,42.323976457599926,42.51598729836395,0.5454651117324829,0.9991617798805237,0.07638192176818848,0.9848937392234802
raise,/nas/public/exchange/JPEG-AI/data/TEST/raise/original/10111_00_300_gt.png,0.25,0.995428204536438,0.9952923655509949,44.16012599311772,43.77609021671247,43.89820136028399,0.6381959915161133,0.9996979236602783,0.05657324194908142,0.99323570728302
raise,/nas/public/exchange/JPEG-AI/data/TEST/raise/original/10111_00_300_gt.png,0.75,0.9984642863273621,0.998299777507782,47.45958283750306,45.833096012642166,46.64131513921459,0.7872241735458374,0.9999417662620544,0.03491388261318207,0.9982585310935974
raise,/nas/public/exchange/JPEG-AI/data/TEST/raise/original/10111_00_300_gt.png,1.0,0.9988876581192017,0.9987248182296753,48.2511272770525,46.47427820359583,47.42985104917859,0.8135675191879272,0.9999603033065796,0.030617138370871544,0.9987563490867615
raise,/nas/public/exchange/JPEG-AI/data/TEST/raise/original/10111_00_300_gt.png,2.0,0.9993519186973572,0.9991920590400696,49.54909071914453,47.41935281250491,48.967819935431216,0.8500011563301086,0.9999780058860779,0.024592941626906395,0.9992566704750061
raise,/nas/public/exchange/JPEG-AI/data/TEST/raise/original/10172_00_300_gt.png,0.12,0.9964767098426819,0.9963633418083191,46.90931748596691,45.264902890050756,45.5849918973025,0.776565670967102,0.9995372295379639,0.048788171261548996,0.9929897785186768
raise,/nas/public/exchange/JPEG-AI/data/TEST/raise/original/10172_00_300_gt.png,0.25,0.9983060956001282,0.9982470273971558,49.33680579946515,48.141817108971324,49.586312093878405,0.8386498689651489,0.999911904335022,0.03440624102950096,0.9972711205482483
raise,/nas/public/exchange/JPEG-AI/data/TEST/raise/original/10172_00_300_gt.png,0.75,0.9994551539421082,0.9993990063667297,52.01885634306615,51.071383747256206,52.470302203223845,0.9153681397438049,0.9999843239784241,0.02101481705904007,0.9993388056755066
raise,/nas/public/exchange/JPEG-AI/data/TEST/raise/original/10172_00_300_gt.png,1.0,0.9995226860046387,0.9994671940803528,52.277224470073634,51.36287349557623,52.79315124470565,0.9197366833686829,0.9999868869781494,0.01995575800538063,0.9994277954101562
raise,/nas/public/exchange/JPEG-AI/data/TEST/raise/original/10172_00_300_gt.png,2.0,0.9996469616889954,0.9995938539505005,52.85150881283646,52.02593507909316,53.82841230168148,0.9285606741905212,0.9999904036521912,0.017863009124994278,0.9995728135108948
laion,/nas/public/exchange/JPEG-AI/data/TEST/laion/original/odyhbcgchi.jpg,0.12,0.9745047688484192,0.9742961525917053,32.14786235533761,42.68195594043005,39.319356828341256,0.4699496924877167,0.9067544341087341,0.16386795043945312,0.9664400219917297
laion,/nas/public/exchange/JPEG-AI/data/TEST/laion/original/odyhbcgchi.jpg,0.25,0.9924786686897278,0.9924328923225403,37.44288278618533,44.57912894763268,41.67436063127908,0.6733590364456177,0.9619565010070801,0.09161761403083801,0.9913528561592102
laion,/nas/public/exchange/JPEG-AI/data/TEST/laion/original/odyhbcgchi.jpg,0.75,0.9981613159179688,0.9981526732444763,43.010790382639286,48.05370896633649,46.7560032456282,0.8180692195892334,0.9875963926315308,0.04615544527769089,0.9980778098106384
laion,/nas/public/exchange/JPEG-AI/data/TEST/laion/original/odyhbcgchi.jpg,1.0,0.9985303282737732,0.9985202550888062,43.65150082832412,48.4109070633731,47.13245089512259,0.8314489126205444,0.9895232319831848,0.04230642318725586,0.9984253644943237
